mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Fate1MT0,Fate1MT12,Fate1MT36,Fate1MT4,Fate1MT50,Fate1MT8,Fate1MTlong,Fate2MT0,Fate2MT12,Fate2MT24,Fate2MT48,Fate2MT5,Fate2MTlong,Poo,peakidx,ms_level
90.52636708391653,90.52630141103285,90.52641524646953,98.6808967590332,95.15916442871094,101.28607177734375,26,0,3,2,2,1,1,2,2,1,1,2,2,2,5,"c(28016, 33844, 40594, 58895, 64488, 71086, 76713, 91176, 105078, 117379, 133532, 141309, 148185, 162892, 176667, 187711, 211994, 218061, 231282, 237061, 253696, 264772, 284728, 295561, 303061, 314812, 316350, 319060, 322229, 324855, 334658, 337337, 349981, 354206, 358932, 363510, 372577, 381761, 387085, 391583, 398246, 404873, 410203, 415248, 417669, 422113, 429455)",1
90.52635796961061,90.52628948096661,90.5263872736003,735.5239562988281,733.71435546875,736.735107421875,18,1,3,1,1,1,0,2,1,1,0,2,1,0,4,"c(5497, 33866, 58983, 64558, 71095, 76755, 105058, 125032, 133605, 141318, 162926, 176727, 194193, 218135, 231301, 253785, 284725, 289875, 319061, 322230, 324856, 327518, 334659, 337338, 349982, 352026, 354207, 358933, 361147, 370544, 372578, 376848, 381762, 384305, 391584, 393892, 398247, 402548, 404874, 410204, 412887, 415249, 417670, 424327, 426726, 429456, 431912)",1
90.52635816383139,90.52630413703378,90.52640437298763,376.1940612792969,373.8575439453125,379.3880615234375,24,1,3,2,1,0,2,3,2,1,1,2,2,0,4,"c(5510, 21462, 40609, 53757, 58971, 64532, 71154, 76729, 91179, 117315, 125050, 133575, 148231, 162934, 176704, 194183, 212000, 218065, 231266, 237059, 253732, 264793, 289824, 295599, 319062, 322231, 329830, 334660, 349983, 354208, 356655, 358934, 372579, 384306, 391585, 398248, 404875, 410205, 415250, 417671, 429457, 431913)",1
90.52637990703217,90.52631148675856,90.52644238803845,318.1798400878906,315.7959289550781,320.65020751953125,24,1,2,2,2,2,0,2,1,0,1,3,1,2,3,"c(5508, 27973, 33831, 58942, 71113, 76717, 91202, 105118, 110741, 117343, 117363, 125055, 162895, 176703, 194148, 218118, 237036, 264822, 284710, 289889, 289890, 295630, 303132, 314807, 319063, 322232, 324857, 332404, 337339, 349984, 384307, 391586, 400426, 404876, 407806, 410206, 415251, 417672, 429458)",1
90.52634074951905,90.52628750479612,90.52640584019937,639.44207763671875,637.326416015625,641.582275390625,18,0,3,1,2,0,1,1,2,0,1,2,2,1,2,"c(21518, 27987, 53730, 58930, 64497, 71107, 76771, 117295, 148258, 162890, 212018, 218102, 231250, 237088, 264777, 284706, 295557, 303084, 316351, 319064, 322233, 329831, 334661, 349985, 352027, 354209, 356656, 358935, 363511, 365653, 367742, 372580, 376849, 378236, 381763, 384308, 387086, 391587, 398249, 404877, 407807, 410207, 415252, 417673, 422114, 429459, 431914)",1
90.52638581568306,90.52632721544245,90.52643666001102,218.7432098388672,216.6302490234375,220.15463256835937,18,0,2,2,2,0,1,1,1,1,0,3,1,0,4,"c(21508, 33804, 40596, 58896, 71088, 76781, 91177, 117290, 141315, 162893, 176707, 194136, 218097, 237047, 253698, 284692, 289821, 295579, 316352, 319065, 322234, 337340, 349986, 356657, 358936, 363512, 372581, 391588, 398250, 400427, 404878, 410208, 412888, 415253, 417674, 426727, 429460, 431915)",1
90.52635573726752,90.52628373554559,90.52642752891605,713.31439208984375,709.84796142578125,715.79339599609375,26,1,3,2,2,1,1,3,2,1,1,3,2,1,3,"c(5465, 21519, 33781, 40662, 58903, 64505, 71159, 76722, 91184, 105104, 117335, 125040, 133603, 148201, 187697, 194192, 205898, 218133, 231300, 237049, 253703, 264770, 284749, 289872, 295562, 314806, 319066, 322235, 327519, 334662, 337341, 349987, 354210, 358937, 367743, 372582, 374719, 378237, 381764, 393893, 398251, 404879, 410209, 415254, 417675, 426728, 429461)",1
90.52636252717828,90.52629761941502,90.52642190093762,442.5419921875,440.25225830078125,445.10089111328125,19,0,1,1,3,1,0,1,2,0,1,2,1,2,4,"c(21515, 28005, 33807, 64534, 76739, 110727, 133576, 162920, 176695, 187671, 194164, 212003, 218125, 237098, 264810, 284694, 289865, 303111, 314857, 316353, 319067, 322236, 334663, 337342, 340130, 345150, 349988, 352028, 354211, 356658, 361148, 372583, 381765, 391589, 404880, 407808, 410210, 415255, 417676, 429462)",1
90.52635820893097,90.5263066634073,90.526414060661,479.6364288330078,477.7964782714844,482.6977844238281,22,0,2,2,2,2,2,0,1,1,0,1,2,1,6,"c(21447, 33857, 40655, 53702, 58900, 64494, 76731, 91180, 105103, 110709, 141369, 148254, 162867, 176687, 187681, 194139, 212004, 231247, 237099, 253753, 284767, 314860, 316354, 319068, 322237, 327520, 334664, 345151, 349989, 354212, 361149, 363513, 365654, 372584, 381766, 391590, 395834, 398252, 404881, 410211, 412889, 415256, 417677, 422115, 424328, 426729, 429463)",1
90.52637696560232,90.52632416976095,90.52643813371995,248.91543579101562,245.36239624023437,250.9876251220703,23,1,1,2,1,1,2,3,0,1,0,2,1,2,5,"c(5438, 21465, 40671, 53706, 71108, 71150, 76783, 91205, 110766, 117291, 125038, 133534, 141295, 148211, 162913, 176685, 187705, 231270, 253699, 284715, 289861, 303094, 314851, 319069, 322238, 329832, 340131, 349990, 356659, 372585, 387087, 391591, 395835, 398253, 402549, 404882, 410212, 412890, 415257, 417678, 424329, 429464)",1
90.52637816874801,90.52629383937234,90.52640453869495,613.8093566894531,611.3468017578125,616.097900390625,20,1,3,2,1,2,1,0,1,1,1,3,2,1,1,"c(5519, 33862, 40658, 58929, 64552, 71093, 76736, 91234, 105055, 110712, 176675, 205878, 231295, 237064, 253737, 264780, 284703, 289896, 295620, 314865, 319070, 322239, 324858, 327521, 334665, 337343, 349991, 354213, 361150, 363514, 365655, 367744, 372586, 374720, 384309, 387088, 395836, 398254, 404883, 410213, 415258, 417679, 426730, 429465)",1
90.5263491793036,90.52629763783962,90.52641329569552,741.4901123046875,738.5594482421875,745.083984375,25,1,2,1,3,1,2,3,2,1,1,2,1,1,3,"c(5525, 21520, 27975, 33838, 40614, 53694, 58952, 58984, 64499, 91196, 110719, 117347, 125077, 133542, 176677, 187724, 194144, 211973, 218080, 237041, 253786, 264787, 289830, 295604, 314802, 319071, 322240, 334666, 345152, 347787, 349992, 354214, 356660, 367745, 370545, 372587, 374721, 376850, 381767, 391592, 398255, 400428, 404884, 410214, 415259, 417680, 419903, 426731, 429466)",1
90.52636531473706,90.52630453000195,90.52641763396983,368.4564514160156,364.78369140625,371.4365234375,27,1,2,1,2,1,2,2,1,0,1,3,0,2,6,"c(5490, 27971, 33815, 40674, 53755, 53756, 58917, 71114, 76746, 105069, 117364, 125095, 141351, 148249, 162916, 162933, 176719, 187694, 187737, 194209, 211968, 264823, 284742, 289863, 295566, 303134, 314839, 319072, 322241, 324859, 349993, 352029, 358938, 365656, 372588, 391593, 395837, 398256, 400429, 402550, 404885, 407809, 410215, 415260, 417681, 429467)",1
90.52636471814424,90.52629789027598,90.52640912132858,495.1947021484375,489.9970703125,499.41424560546875,30,1,3,1,3,2,2,3,2,1,0,0,2,2,6,"c(5457, 21463, 27982, 33787, 40629, 40680, 53716, 58975, 64562, 71141, 76788, 76789, 105123, 110775, 117300, 125025, 133578, 141321, 148236, 162922, 176720, 187718, 194161, 212014, 218107, 231292, 237037, 253735, 303136, 314861, 319073, 322242, 349994, 352030, 354215, 372589, 381768, 391594, 398257, 404886, 410216, 412891, 415261, 417682, 419904, 422116, 424330, 429468)",1
90.52635213073194,90.52630849412728,90.52641881739228,276.2273864746094,272.6171875,281.7313232421875,35,1,2,1,3,2,2,2,2,1,0,2,2,2,5,"c(5475, 21495, 27991, 33849, 33850, 40638, 40672, 53721, 53753, 58940, 64509, 64546, 91178, 105079, 105115, 110767, 117292, 117341, 125070, 141324, 141362, 148229, 148248, 176716, 187668, 194182, 211966, 218087, 231244, 237080, 253773, 289853, 295612, 303077, 314837, 319074, 322243, 334667, 347788, 349995, 354216, 365657, 372590, 381769, 391595, 398258, 404887, 410217, 412892, 415262, 417683, 429469)",1
