mz,mz_obs,compound,file_name,rt,rtmin,rtmax,MS2s
293.11465,293.11465,Glutamylphenylalanine,201110_Std_4uMStdsMix1InH2O_35neg2,8.19,7.39,8.99,"128.03428, 100; 164.07089, 59.5; 127.05029, 43.5; 147.04422, 16.7; 109.03967, 6.6; 72.00792, 4.2; 213.10289, 3.8; 257.0934, 3.6; 221.1544, 3.2; 84.04429, 2.9; 91.0542, 2.7; 216.83954, 2.2; 274.88127, 2; 74.02353, 2; 99.05527, 1.9; 112.03929, 1.9; 275.10394, 1.8; 124.02677, 1.8; 82.02868, 1.7; 236.10532, 1.7; 216.85008, 1.6; 101.07079, 1.4; 122.04744, 1.3; 118.06516, 1.2; 220.1466, 1; 162.05538, 0.9; 145.06097, 0.8; 301.94288, 0.7; 185.07155, 0.7; 58.02862, 0.6; 236.1049, 0.6; 71.0127, 0.6; 231.11371, 0.6"
341.1084,341.10916,Sucrose,201110_Std_4uMStdsMix1InH2O_35neg2,11.712,10.911999999999999,12.512,"89.02325, 100; 59.01263, 65.4; 71.01265, 52.5; 101.02327, 33.7; 113.02332, 24; 119.03391, 23.9; 216.14815, 10.3; 85.02835, 5.1; 87.00759, 3.2; 179.05556, 2.8; 131.03403, 2.4; 216.16282, 2.4; 143.03398, 1.8; 95.01263, 1.6; 72.99185, 1.5; 216.13722, 1.4; 161.04465, 1.4; 73.02827, 1.2; 216.17299, 1.2; 218.57243, 1; 216.1198, 0.9; 83.01269, 0.8; 216.18389, 0.8; 218.59106, 0.8; 218.58168, 0.7; 149.04477, 0.7; 219.43916, 0.7; 219.45789, 0.6; 219.44875, 0.6; 58.00479, 0.6"
88.98749,88.98685,Oxalic Acid,201110_Std_4uMStdsMix1InH2O_50neg1,12.801,12.001,13.601,"60.99187, 100; 88.98677, 47.5; 89.01326, 26.5; 89.02316, 25; 59.01258, 8.8; 57.39399, 2.6; 77.62745, 2.6; 105.83392, 2.3; 105.91393, 2.3; 57.12111, 2.3; 94.36237, 2.3; 99.31401, 2.3; 54.02168, 2.2; 91.9489, 2.2; 51.54372, 2.2; 71.51815, 2.2; 69.22363, 2.2; 82.18919, 2.2; 91.37769, 2.1; 60.26825, 2.1"
115.00314,115.00259,Fumaric Acid,201110_Std_4uMStdsMix1InH2O_50neg1,11.642,10.841999999999999,12.442,"71.01262, 100; 114.93488, 84.8; 115.07522, 27.6; 97.93016, 21.9; 115.02888, 16.8; 71.04897, 10.7; 115.00265, 2.7; 114.29009, 2.1; 74.99261, 2.1; 60.50311, 2; 70.634, 2; 63.31676, 2; 71.49436, 1.9; 116.21905, 1.9; 62.7073, 1.9; 73.03941, 1.8; 99.07793, 1.8; 68.48668, 1.8; 106.72556, 1.8; 59.54186, 1.8; 85.79288, 1.8; 75.9847, 1.7; 81.74337, 1.7; 52.85893, 1.7; 130.80357, 1.7; 56.97242, 1.7; 95.7457, 1.7; 50.5506, 1.7; 108.55435, 1.7; 61.37891, 1.6; 55.60556, 1.6; 51.32965, 1.6; 101.97934, 1.5; 120.73823, 1.5"
116.03477,116.03422,Acetylglycine,201110_Std_4uMStdsMix1InH2O_50neg1,5.136,4.336,5.936,"74.02355, 100; 72.04431, 11.3; 116.03433, 3.6; 116.0244, 2.1; 89.01334, 1.6; 65.01331, 0.9"
117.01878,117.01826,Succinic Acid,201110_Std_4uMStdsMix1InH2O_50neg1,11.096,10.296,11.896,"73.02828, 100; 116.92923, 90.1; 99.92463, 37.7; 117.01823, 10.6; 99.00756, 8.1; 90.0086, 3.9; 55.01775, 0.6"
128.03427,128.03427,L-Pyroglutamic acid,201110_Std_4uMStdsMix1InH2O_50neg1,5.53,4.73,6.33,"128.03427, 100; 82.02865, 6.1; 84.0443, 1.2"
130.05042,130.04997,Propionylglycine,201110_Std_4uMStdsMix1InH2O_50neg1,2.955,2.1550000000000002,3.755,"74.02356, 100; 86.05994, 5.4; 130.04006, 4.6; 130.04982, 3.5; 65.01327, 3.3; 89.01332, 1.2"
133.0137,133.01328,Malic Acid,201110_Std_4uMStdsMix1InH2O_50neg1,11.652,10.851999999999999,12.452,"71.01262, 100; 115.00257, 86.8; 72.99146, 23.1; 133.01313, 9.4; 89.02326, 9; 65.01328, 2.5; 59.01263, 1.8; 91.02895, 1.7; 133.05086, 1.4; 133.03953, 1.3; 87.00753, 1.2; 106.03987, 1.1; 82.03991, 0.6"
135.02934,135.02887,Threonic acid,201110_Std_4uMStdsMix1InH2O_50neg1,8.424,7.624,9.224,"75.00755, 100; 72.99142, 15.5; 59.01261, 13; 135.02885, 9; 89.02265, 5.6; 71.01261, 4.5; 117.0183, 1; 87.00744, 1"
137.02386,137.02342,Salicylic Acid,201110_Std_4uMStdsMix1InH2O_50neg1,2.081,1.281,2.8810000000000002,"93.03341, 100; 137.02345, 5.9; 65.03846, 1"
