Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],(N)CE,(N)CE type,MSX ID,Comment
866.6845,NA,NA,NA,NA,Positive,27.9219693,31.9219693,NA,NA,NA,NA
866.7238,NA,NA,NA,NA,Positive,26.98118316,31.89354075,NA,NA,NA,NA
866.8177,NA,NA,NA,NA,Positive,31.73504638,35.73504638,NA,NA,NA,NA
866.854,NA,NA,NA,NA,Positive,40.76530767,44.76530767,NA,NA,NA,NA
867.6479,NA,NA,NA,NA,Positive,25.55662482,30.70907651,NA,NA,NA,NA
867.7418,NA,NA,NA,NA,Positive,30.1504253,34.34250059,NA,NA,NA,NA
868.5939,NA,NA,NA,NA,Positive,16.9601939,20.9601939,NA,NA,NA,NA
868.5997,NA,NA,NA,NA,Positive,15.08536567,20.01218998,NA,NA,NA,NA
868.6062,NA,NA,NA,NA,Positive,19.44732886,23.96214346,NA,NA,NA,NA
868.6455,NA,NA,NA,NA,Positive,23.18769635,28.64426723,NA,NA,NA,NA
868.6878,NA,NA,NA,NA,Positive,25.76193152,30.27274665,NA,NA,NA,NA
868.7394,NA,NA,NA,NA,Positive,27.68545919,32.46976659,NA,NA,NA,NA
869.5696,NA,NA,NA,NA,Positive,21.76313801,26.72351442,NA,NA,NA,NA
869.6635,NA,NA,NA,NA,Positive,26.26090085,31.30130863,NA,NA,NA,NA
869.7574,NA,NA,NA,NA,Positive,30.9347327,34.9347327,NA,NA,NA,NA
870.5215,NA,NA,NA,NA,Positive,6.743946862,10.74394686,NA,NA,NA,NA
870.6095,NA,NA,NA,NA,Positive,18.37475888,22.88557401,NA,NA,NA,NA
870.6219,NA,NA,NA,NA,Positive,20.91257043,25.90259852,NA,NA,NA,NA
870.6612,NA,NA,NA,NA,Positive,23.89197238,29.23649935,NA,NA,NA,NA
870.7034,NA,NA,NA,NA,Positive,27.21578997,31.68731162,NA,NA,NA,NA
870.7551,NA,NA,NA,NA,Positive,28.4057415,33.06199871,NA,NA,NA,NA
871.5853,NA,NA,NA,NA,Positive,22.46741404,28.05203512,NA,NA,NA,NA
871.6792,NA,NA,NA,NA,Positive,26.98118316,31.89354075,NA,NA,NA,NA
871.7731,NA,NA,NA,NA,Positive,31.73504638,35.73504638,NA,NA,NA,NA
872.5371,NA,NA,NA,NA,Positive,7.712899552,12.80823737,NA,NA,NA,NA
872.6252,NA,NA,NA,NA,Positive,19.78932385,23.78932385,NA,NA,NA,NA
872.6375,NA,NA,NA,NA,Positive,22.33821088,26.85302548,NA,NA,NA,NA
872.6768,NA,NA,NA,NA,Positive,24.61225469,29.8127252,NA,NA,NA,NA
872.7191,NA,NA,NA,NA,Positive,29.14117007,33.14117007,NA,NA,NA,NA
872.7707,NA,NA,NA,NA,Positive,29.1260238,33.65423083,NA,NA,NA,NA
872.8071,NA,NA,NA,NA,Positive,37.59858276,41.59858276,NA,NA,NA,NA
873.6009,NA,NA,NA,NA,Positive,23.18769635,28.64426723,NA,NA,NA,NA
873.6948,NA,NA,NA,NA,Positive,27.68545919,32.46976659,NA,NA,NA,NA
874.5528,NA,NA,NA,NA,Positive,9.229521153,13.77719006,NA,NA,NA,NA
874.5986,NA,NA,NA,NA,Positive,20.81876788,24.81876788,NA,NA,NA,NA
874.6408,NA,NA,NA,NA,Positive,21.2431823,25.71470395,NA,NA,NA,NA
874.6532,NA,NA,NA,NA,Positive,23.76385132,28.27866593,NA,NA,NA,NA
874.6925,NA,NA,NA,NA,Positive,25.31653072,30.40495731,NA,NA,NA,NA
874.7347,NA,NA,NA,NA,Positive,31.06655017,35.06655017,NA,NA,NA,NA
874.7864,NA,NA,NA,NA,Positive,29.83029983,34.4545445,NA,NA,NA,NA
875.6166,NA,NA,NA,NA,Positive,23.89197238,29.23649935,NA,NA,NA,NA
875.7105,NA,NA,NA,NA,Positive,28.4057415,33.06199871,NA,NA,NA,NA
876.5684,NA,NA,NA,NA,Positive,10.74614275,15.29381167,NA,NA,NA,NA
876.6142,NA,NA,NA,NA,Positive,21.52304391,26.14728858,NA,NA,NA,NA
876.6565,NA,NA,NA,NA,Positive,22.65774727,27.1685624,NA,NA,NA,NA
876.6688,NA,NA,NA,NA,Positive,25.22909289,29.70430638,NA,NA,NA,NA
876.7081,NA,NA,NA,NA,Positive,26.03681303,31.18926471,NA,NA,NA,NA
876.802,NA,NA,NA,NA,Positive,30.63061351,34.83869506,NA,NA,NA,NA
876.8384,NA,NA,NA,NA,Positive,40.09153642,44.09153642,NA,NA,NA,NA
877.6322,NA,NA,NA,NA,Positive,24.61225469,29.8127252,NA,NA,NA,NA
877.7261,NA,NA,NA,NA,Positive,29.1260238,33.65423083,NA,NA,NA,NA
878.5841,NA,NA,NA,NA,Positive,12.30489273,16.81043327,NA,NA,NA,NA
878.5906,NA,NA,NA,NA,Positive,17.78408167,21.78408167,NA,NA,NA,NA
878.6299,NA,NA,NA,NA,Positive,22.22731994,27.31574654,NA,NA,NA,NA
878.6721,NA,NA,NA,NA,Positive,24.11160572,29.0939425,NA,NA,NA,NA
878.6845,NA,NA,NA,NA,Positive,27.16954795,31.16954795,NA,NA,NA,NA
878.7238,NA,NA,NA,NA,Positive,26.74108906,31.78149683,NA,NA,NA,NA
878.8177,NA,NA,NA,NA,Positive,31.43092718,35.43092718,NA,NA,NA,NA
878.854,NA,NA,NA,NA,Positive,40.76530767,44.76530767,NA,NA,NA,NA
879.554,NA,NA,NA,NA,Positive,20.81876788,24.81876788,NA,NA,NA,NA
879.6479,NA,NA,NA,NA,Positive,25.31653072,30.40495731,NA,NA,NA,NA
879.7418,NA,NA,NA,NA,Positive,29.83029983,34.4545445,NA,NA,NA,NA
880.5997,NA,NA,NA,NA,Positive,14.32705487,18.32705487,NA,NA,NA,NA
880.6062,NA,NA,NA,NA,Positive,19.20972211,23.20972211,NA,NA,NA,NA
880.6455,NA,NA,NA,NA,Positive,22.94760225,28.53222332,NA,NA,NA,NA
880.6878,NA,NA,NA,NA,Positive,25.52617069,30.03698582,NA,NA,NA,NA
880.7001,NA,NA,NA,NA,Positive,29.110003,33.110003,NA,NA,NA,NA
880.7394,NA,NA,NA,NA,Positive,27.46137136,32.37372895,NA,NA,NA,NA
880.8333,NA,NA,NA,NA,Positive,32.21523458,36.21523458,NA,NA,NA,NA
880.8697,NA,NA,NA,NA,Positive,40.76530767,44.76530767,NA,NA,NA,NA
881.5696,NA,NA,NA,NA,Positive,21.52304391,26.14728858,NA,NA,NA,NA
881.6635,NA,NA,NA,NA,Positive,26.03681303,31.18926471,NA,NA,NA,NA
881.7574,NA,NA,NA,NA,Positive,30.63061351,34.83869506,NA,NA,NA,NA
882.6154,NA,NA,NA,NA,Positive,16.39134538,20.39134538,NA,NA,NA,NA
882.6219,NA,NA,NA,NA,Positive,20.63536256,25.15017717,NA,NA,NA,NA
882.6612,NA,NA,NA,NA,Positive,23.65187828,29.12445544,NA,NA,NA,NA
882.7034,NA,NA,NA,NA,Positive,26.98002914,31.45155079,NA,NA,NA,NA
882.7551,NA,NA,NA,NA,Positive,28.18165367,32.96596107,NA,NA,NA,NA
883.5853,NA,NA,NA,NA,Positive,22.22731994,27.31574654,NA,NA,NA,NA
883.6792,NA,NA,NA,NA,Positive,26.74108906,31.78149683,NA,NA,NA,NA
883.7731,NA,NA,NA,NA,Positive,31.43092718,35.43092718,NA,NA,NA,NA
884.5371,NA,NA,NA,NA,Positive,8.049926574,12.04992657,NA,NA,NA,NA
884.5436,NA,NA,NA,NA,Positive,13.22995246,17.22995246,NA,NA,NA,NA
884.6375,NA,NA,NA,NA,Positive,22.10060413,27.09063222,NA,NA,NA,NA
884.6768,NA,NA,NA,NA,Positive,24.37216059,29.70068128,NA,NA,NA,NA
884.7191,NA,NA,NA,NA,Positive,28.39459411,32.90540924,NA,NA,NA,NA
884.7707,NA,NA,NA,NA,Positive,28.8859297,33.55819319,NA,NA,NA,NA
885.6009,NA,NA,NA,NA,Positive,22.94760225,28.53222332,NA,NA,NA,NA
885.6948,NA,NA,NA,NA,Positive,27.46137136,32.37372895,NA,NA,NA,NA
885.7887,NA,NA,NA,NA,Positive,32.21523458,36.21523458,NA,NA,NA,NA
886.5528,NA,NA,NA,NA,Positive,9.018879264,14.07208871,NA,NA,NA,NA
886.5593,NA,NA,NA,NA,Positive,14.65559291,18.65559291,NA,NA,NA,NA
886.6408,NA,NA,NA,NA,Positive,20.968128,24.968128,NA,NA,NA,NA
886.6532,NA,NA,NA,NA,Positive,23.52624458,28.04105919,NA,NA,NA,NA
886.6925,NA,NA,NA,NA,Positive,25.09244289,30.2929134,NA,NA,NA,NA
886.7347,NA,NA,NA,NA,Positive,30.35926769,34.35926769,NA,NA,NA,NA
886.7864,NA,NA,NA,NA,Positive,29.60621201,34.13441903,NA,NA,NA,NA
887.6166,NA,NA,NA,NA,Positive,23.65187828,29.12445544,NA,NA,NA,NA
887.7105,NA,NA,NA,NA,Positive,28.18165367,32.96596107,NA,NA,NA,NA
888.5684,NA,NA,NA,NA,Positive,10.53550087,15.08316978,NA,NA,NA,NA
888.5749,NA,NA,NA,NA,Positive,16.08123335,20.08123335,NA,NA,NA,NA
888.6565,NA,NA,NA,NA,Positive,22.42198644,26.42198644,NA,NA,NA,NA
888.6688,NA,NA,NA,NA,Positive,24.95188503,29.46669964,NA,NA,NA,NA
888.7081,NA,NA,NA,NA,Positive,25.79671892,30.88514552,NA,NA,NA,NA
888.7504,NA,NA,NA,NA,Positive,32.28464779,36.28464779,NA,NA,NA,NA
888.802,NA,NA,NA,NA,Positive,30.32649431,34.9347327,NA,NA,NA,NA
