PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
34,Keto-?-(methylthio)butyric acid,984,1.885357,2.241821,2.542308,147.0112,8571008,58055068,null,[M-H]-,M + 0,,2.59,147.0116,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,99.8,null,null,null,99.8,463.4969,146.96498:47268 147.01123:8927664 147.06682:56637 147.55659:34024 148.01099:85500 148.01456:525302 148.0507:88100 148.95169:1000041 149.00703:388289 149.01559:60947 149.02701:55814 149.04578:38550 150.06616:72623 150.94751:46229,55.93669:3254 61.7053:3954 61.9871:23298 62.13406:3385 67.63164:3319 79.41484:3490 82.04008:4116 82.56805:3179 105.04476:4403
35,Unknown,984,2.062031,2.241821,2.375078,148.0146,505446.1563,2952067.5,null,[M-H]-,M + 1,isotope of 34,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,15.40291,147.55659:34024 148.01099:85500 148.01456:525302 148.0507:88100 148.95169:1000041 149.00703:388289 149.01559:60947 149.02701:55814 149.04578:38550 150.06616:72623 150.94751:46229 152.04575:42758,
36,Unknown,1001,2.244065,2.287702,2.442755,263.0532,35260.15625,103892.7734,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,8.962065,263.05325:79360,
37,Unknown,1005,2.254383,2.296683,2.328239,227.1529,99641.39844,221252.5,null,[2M-H]-,M + 0,adduct linked to 38_[M+Na-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,16.11559,227.05751:37854 227.15115:58795 227.15698:76264 227.16675:33603 227.17476:40769 227.20155:104961 228.93141:33367,
38,Unknown,1008,2.174309,2.303418,2.558883,135.0442,1104226.375,6678827,null,[M+Na-2H]-,M + 0,adduct linked to 37_[2M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,41.29196,135.04416:1118274 135.06686:31379 135.33537:36340 135.94418:174626 136.04761:80620 136.05043:31085 137.02347:4062053 137.93956:48948 138.01863:110017 138.02682:272385 139.97455:31398,53.70383:3445 59.46445:4093 63.7337:3715 65.74211:4157 66.67804:3786 68.0868:3341 76.96927:3857 91.05417:21174 96.1675:3669 98.72159:3881 110.76393:3224 114.39957:3571 125.65119:3544 125.85246:3313 134.89346:23567 135.04404:14053
39,Unknown,1078,2.346449,2.458199,2.506273,124.9903,46762.76953,177917.4844,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.4223,124.9903:62734 125.03473:66256 127.05024:38777 127.07548:47989 128.00937:31435 129.05489:41891 129.09122:40109,
40,Unknown,1100,2.289946,2.500731,2.614685,102.063,116781.8125,603047.6875,null,[M-H]-,M + 1,isotope of 41,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,10.17564,102.05499:123369 102.06306:130963 105.04491:51512 106.03998:699602 107.03522:148315 107.04314:52737,
41,Unknown,1101,2.375078,2.504027,2.776055,101.0597,2279902,16619198,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,87.47896,100.98447:228975 101.02335:213269 101.05965:2314560 102.05495:116435 102.06297:97982 102.77046:38483 105.04469:81346 105.93497:35937 106.03994:1513204,51.56999:3566 51.84517:3483 56.17418:3753 56.99467:4821 57.03336:6571 58.02857:7970 62.97678:3457 71.26132:3178 90.79457:3679 97.74133:3173 98.32743:3444 100.92483:6536 101.02335:9462 101.05965:128116
42,Unknown,1113,2.335977,2.532146,2.714599,152.0262,133902.2969,654835.75,null,[M+K-2H]-,M + 1,isotope of 46,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,9.860677,152.02597:140077 152.03455:67637 154.08643:162349 154.24869:55826 154.94644:384350 156.01161:3897752 156.05565:58994 157.01486:220980,
43,2-Hydroxy-4-(methylthio)butyric_acid,1114,2.39847,2.535727,2.853794,149.0268,53109624,333047296,null,[M+Cl]-,M + 0,adduct linked to 46_[M+K-2H]-,2.69,149.02724,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.8,2377.584,148.55756:69127 148.95169:1105718 149.02684:57372032 149.06088:74101 149.49857:76751 150.02634:388953 150.03018:3024216 150.06627:69115 151.02266:2693956 151.03094:343449 151.03386:54787 151.03923:62816 152.0262:161505 152.0345:57839,59.20034:3971 61.09806:3811 63.42413:3878 68.99442:5892 72.98173:3461 75.18295:3795 79.95616:461384 82.95965:28969 90.83044:3677 91.06244:3993 98.95464:39424 101.0232:4879 126.76357:3803 127.22771:3729 143.10199:4406 148.9516:468067
44,Unknown,1114,2.450461,2.535727,2.612439,149.0609,61617.72266,317128.4688,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.73441,148.95169:1105718 149.02684:57372032 149.06088:74101 149.49857:76751 150.02634:388953 150.03018:3024216 150.06627:69115 151.02266:2693956 151.03094:343449 151.03386:54787 151.03923:62816 152.0262:161505 152.0345:57839,
45,Unknown,1114,2.406541,2.535727,2.785038,150.0302,3238034,20403288,null,[M+Cl]-,M + 1,isotope of 43,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,110.1508,150.02634:388953 150.03018:3024216 150.06627:69115 151.02266:2693956 151.03094:343449 151.03386:54787 151.03923:62816 152.0262:161505 152.0345:57839 154.08627:108301 154.94637:320506,56.81228:3672 57.03337:21536 58.03669:26447 58.63194:3667 65.01338:5946 66.9687:3154 67.02715:5182 67.02891:22936 69.29299:3286 72.99197:7524 79.95618:5679 81.04465:7522 81.93378:3484 82.02866:3653 91.02903:7252 101.02332:28832 102.02657:55699 108.05563:9540 109.0397:9965 110.04743:4215 127.14936:3285 140.83641:3911 149.95566:5814 150.0011:8035 150.03069:46064 150.06664:3820
46,Unknown,1114,2.177796,2.535727,2.76589,151.0227,2371726,14229310,null,[M+K-2H]-,M + 0,adduct linked to 43_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,289.7107,151.02266:2693956 151.03094:343449 151.03386:54787 151.03923:62816 152.0262:161505 152.0345:57839 154.08627:108301 154.94637:320506 156.01161:3515386,54.76327:3000 56.4957:3278 57.03336:9740 58.84132:3424 61.30058:3037 64.86882:3895 69.40522:3177 72.62431:3759 81.95194:23502 81.9605:4706 83.1787:3540 84.95516:4390 87.17001:3529 96.10992:3474 101.02334:19221 102.15609:3573 108.02038:3806 109.03977:4577 129.40683:3597 136.01562:35686 146.43558:3387 150.56915:3637 150.9476:31197 151.02278:15516
47,Unknown,1115,2.372833,2.5391,2.683628,469.9398,61447.125,238883.0781,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1228.943,469.94009:64707 471.94308:752715,
48,Unknown,1116,2.406541,2.542308,2.669162,101.0233,354598.7188,3289725.75,null,[M-H2O-H]-,M + 0,adduct linked to 50_[M+FA-H]-; found in higher mz's MsMs_46,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,7.68112,100.98447:191900 101.02326:423927 101.05965:1426410 102.05484:143208 102.06297:79917 105.04459:69384,53.07241:3493 54.60948:3385 57.03334:13860 58.02851:4791 72.06865:3647 101.02321:10963 101.05963:269367
49,Unknown,1119,2.430853,2.548494,2.643939,341.0189,43469.39453,114015.7109,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.4837,341.01886:63418,
50,Unknown,1123,2.430853,2.558883,2.621422,165.022,219389.6719,1450058,null,[M+FA-H]-,M + 0,adduct linked to 48_[M-H2O-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.97331,165.01843:89501 165.02196:188532 166.05356:625686 166.9567:51478 169.09766:46557,
51,Unknown,1125,2.335977,2.565629,2.821467,279.0482,270707.6875,1492190.5,null,[M-H2O-H]-,M + 0,adduct linked to 53_[M-C6H8O6-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,76.91998,279.04822:358500 280.01544:63727 280.05142:54249 283.26453:1272696 283.63727:52106,69.03336:3887 70.02863:7569 74.02359:31271 74.75543:3216 79.10178:3683 84.0443:9130 96.04439:6745 97.03956:55333 110.02356:8875 111.01903:3538 112.0267:5372 124.06667:3942 141.06578:6575 153.06595:12824 173.03217:3498 202.33022:3246 217.04175:5640 217.05229:6640 217.06671:48747 217.07898:7046 217.09065:5186 218.50398:8102 218.51347:8146 218.52257:8706
52,Unknown,1126,2.504027,2.568833,2.769482,122.0318,406926.6563,3022765.5,null,[M-C6H8O6-H]-,M + 1,isotope of 53,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,14.4868,122.0318:345079 122.03472:96757 123.05523:116092 124.05051:215093 125.03463:113210,
